TransactionID,Date,Region,SalesPerson,Product,Quantity,UnitPrice,Discount,Category,CustomerType
1,2025-01-01,North,Rahul,Laptop,2,60000,5,Electronics,Regular
2,2025-01-02,South,Meena,Mouse,5,800,0,Accessories,New
3,2025-01-03,East,Ajay,Keyboard,3,1200,10,Accessories,Regular
4,2025-01-04,West,Priya,Laptop,1,62000,0,Electronics,Regular
5,2025-01-05,North,Karan,Mobile,4,25000,5,Electronics,New
6,2025-01-06,East,Rahul,Tablet,2,18000,0,Electronics,Regular
7,2025-01-07,South,Meena,Charger,6,500,0,Accessories,New
8,2025-01-08,North,Priya,Laptop,3,58000,10,Electronics,Regular
9,2025-01-09,West,Ajay,Mobile,2,27000,5,Electronics,Regular
10,2025-01-10,East,Karan,Keyboard,5,1000,0,Accessories,New
11,2025-01-11,South,Rahul,Laptop,1,61000,0,Electronics,Regular
12,2025-01-12,North,Meena,Mouse,4,850,5,Accessories,New
13,2025-01-13,East,Priya,Tablet,3,19000,10,Electronics,Regular
14,2025-01-14,West,Ajay,Laptop,2,63000,0,Electronics,New
15,2025-01-15,North,Karan,Charger,5,550,0,Accessories,Regular
16,2025-01-16,South,Rahul,Keyboard,4,1100,0,Accessories,New
17,2025-01-17,East,Meena,Mobile,3,26000,5,Electronics,Regular
18,2025-01-18,West,Priya,Laptop,2,60000,5,Electronics,New
19,2025-01-19,North,Ajay,Tablet,4,18500,10,Electronics,Regular
20,2025-01-20,South,Karan,Mouse,6,750,0,Accessories,New
